Name,Model,Subtitle,Acceleration,Top_Speed,Range,Efficiency,Fast_Charge,Drive_Type,No_Of_Seats,Germany_Price,UK_Price
Skoda,Enyaq Coupe iV 60,58 kWh useable battery          Available since July 2022,8.8 sec,160 km/h,355 km,163 Wh/km,480 km/h,Rear Wheel Drive,5,"* €43,000",N/A
Nissan,Ariya e-4ORCE 87kWh - 225 kW,87 kWh useable battery          Available since July 2022,5.7 sec,200 km/h,405 km,215 Wh/km,480 km/h,All Wheel Drive,5,"€61,990","£50,845"
Fiat,500e 3+1 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h,Front Wheel Drive,4,"€36,990",N/A
Mercedes,eVito Tourer Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160 km/h,310 km,290 Wh/km,310 km/h,Front Wheel Drive,9,"€64,248","£76,368"
Mercedes,EQS SUV 450 4MATIC,108.4 kWh useable battery          Available since December 2022,6.0 sec,210 km/h,490 km,221 Wh/km,640 km/h,All Wheel Drive,7,"€114,609","£129,470"
Peugeot,e-208 50 kWh,46.3 kWh useable battery          Available since August 2023,9.0 sec,150 km/h,290 km,160 Wh/km,460 km/h,Front Wheel Drive,5,"* €39,000","* £32,000"
BMW,i7 M70 xDrive,101.7 kWh useable battery          Available since May 2023,3.7 sec,250 km/h,490 km,208 Wh/km,730 km/h,All Wheel Drive,5,"€181,800","£163,315"
Citroen,e-C4 54 kWh,50.8 kWh useable battery          Available since June 2023,10.0 sec,150 km/h,320 km,159 Wh/km,460 km/h,Front Wheel Drive,5,"€41,540",N/A
Elaris,BEO 86 kWh,81 kWh useable battery*          Available since February 2023,8.0 sec,150 km/h,390 km,208 Wh/km,290 km/h,Front Wheel Drive,5,"€53,090",N/A
Skoda,Enyaq iV RS,77 kWh useable battery          Available since February 2023,6.2 sec,180 km/h,420 km,183 Wh/km,580 km/h,All Wheel Drive,5,"€63,300","£52,670"
BYD,SEAL 82.5 kWh RWD Design,82.5 kWh useable battery          Available since September 2023,5.9 sec,180 km/h,500 km,165 Wh/km,550 km/h,Rear Wheel Drive,5,"€47,150","£44,990"
Fiat,500e Hatchback 24 kWh,21.3 kWh useable battery          Available since November 2020,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,"€30,990","£28,195"
NIO,ET5 Touring 75 kWh,70.5 kWh useable battery          Available since July 2023,4.0 sec,200 km/h,385 km,183 Wh/km,520 km/h,All Wheel Drive,5,"€59,500",N/A
Maserati,Grecale Folgore,95 kWh useable battery*          Expected from September 2023,4.1 sec,220 km/h,405 km,235 Wh/km,440 km/h,All Wheel Drive,5,N/A,"* £135,000"
Mercedes,EQE 300,89 kWh useable battery          Available since May 2023,7.3 sec,210 km/h,515 km,173 Wh/km,650 km/h,Rear Wheel Drive,5,"€67,187",N/A
Skoda,Enyaq Coupe iV 80x,77 kWh useable battery          Available since December 2022,7.0 sec,160 km/h,450 km,171 Wh/km,630 km/h,All Wheel Drive,5,"€56,650","£52,505"
Audi,SQ8 e-tron Sportback,106 kWh useable battery          Available since May 2023,4.5 sec,210 km/h,480 km,221 Wh/km,610 km/h,All Wheel Drive,5,"€98,050","£100,000"
e.Go,e.wave X,27 kWh useable battery*          Available since December 2022,12.0 sec,135 km/h,150 km,180 Wh/km,-,Rear Wheel Drive,4,"€24,990",N/A
Mercedes,EQB 300 4MATIC,66.5 kWh useable battery          Expected from November 2023,8.0 sec,160 km/h,345 km,193 Wh/km,500 km/h,All Wheel Drive,7,"* €56,000","* £55,000"
Audi,Q4 Sportback e-tron 35,52 kWh useable battery          Available since August 2021,9.0 sec,160 km/h,295 km,176 Wh/km,370 km/h,Rear Wheel Drive,5,N/A,N/A
Porsche,Taycan Turbo S,83.7 kWh useable battery          Available since January 2023,2.8 sec,260 km/h,430 km,195 Wh/km,1060 km/h,All Wheel Drive,4,"€197,740","£148,300"
NIO,EL6 100 kWh,90 kWh useable battery          Available since July 2023,4.5 sec,200 km/h,440 km,205 Wh/km,460 km/h,All Wheel Drive,5,"€74,500",N/A
Genesis,G80 Electrified Luxury,82.5 kWh useable battery*          Available since June 2022,4.9 sec,225 km/h,440 km,188 Wh/km,880 km/h,All Wheel Drive,5,"€69,200","£69,805"
Porsche,Taycan 4S Plus,83.7 kWh useable battery          Available since January 2023,4.0 sec,250 km/h,480 km,174 Wh/km,1180 km/h,All Wheel Drive,4,"€120,081","£94,996"
VinFast,VF 8 Plus Standard Range,82 kWh useable battery          Expected from September 2023,5.5 sec,200 km/h,400 km,205 Wh/km,560 km/h,All Wheel Drive,5,"* €55,000",N/A
Ford,Mustang Mach-E SR AWD,70 kWh useable battery          Available since November 2022,6.3 sec,180 km/h,345 km,203 Wh/km,360 km/h,All Wheel Drive,5,"€69,200",N/A
Fiat,500e Cabrio 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150 km/h,230 km,162 Wh/km,380 km/h,Front Wheel Drive,4,"€37,990","£34,195"
VinFast,VF 9 Standard Range,92 kWh useable battery          Expected from September 2023,6.5 sec,200 km/h,400 km,230 Wh/km,540 km/h,All Wheel Drive,7,"* €83,000",N/A
Opel,Vivaro-e Combi M 75 kWh,68 kWh useable battery*          Available since October 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€56,942",N/A
Mercedes,EQE SUV AMG 53 4MATIC+,90.6 kWh useable battery          Available since May 2023,3.5 sec,240 km/h,410 km,221 Wh/km,610 km/h,All Wheel Drive,5,"€139,438","£133,860"
Mini,Cooper SE Convertible,28.9 kWh useable battery          Available since February 2023,8.2 sec,150 km/h,165 km,175 Wh/km,230 km/h,Front Wheel Drive,4,N/A,"£52,500"
Toyota,PROACE Verso L 75 kWh,68 kWh useable battery*          Available since October 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,8,"€65,385",N/A
ORA,Funky Cat GT,59.3 kWh useable battery          Available since April 2023,8.2 sec,160 km/h,330 km,180 Wh/km,230 km/h,Front Wheel Drive,5,"€49,490",N/A
Mercedes,EQS SUV 500 4MATIC,108.4 kWh useable battery          Available since December 2022,5.2 sec,210 km/h,490 km,221 Wh/km,640 km/h,All Wheel Drive,7,"€124,545",N/A
Porsche,Taycan 4 Cross Turismo,83.7 kWh useable battery          Available since January 2023,5.1 sec,220 km/h,440 km,190 Wh/km,1080 km/h,All Wheel Drive,4,"€103,254","£88,200"
Mercedes,EQA 350 4MATIC,66.5 kWh useable battery          Expected from November 2023,6.0 sec,160 km/h,355 km,187 Wh/km,510 km/h,All Wheel Drive,5,"* €56,500","* £55,000"
XPENG,P7 AWD Performance,82.7 kWh useable battery          Available since February 2023,4.1 sec,200 km/h,460 km,180 Wh/km,640 km/h,All Wheel Drive,5,N/A,N/A
Mercedes,EQE 350,89 kWh useable battery          Available since May 2023,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,Rear Wheel Drive,5,"€70,995",N/A
Peugeot,e-Rifter Standard 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€41,240","£33,120"
Nissan,Ariya e-4ORCE 87kWh - 290 kW,87 kWh useable battery          Available since April 2023,5.1 sec,200 km/h,405 km,215 Wh/km,480 km/h,All Wheel Drive,5,"€71,490",N/A
Toyota,Proace City Verso Electric L2 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€40,150",N/A
Porsche,Taycan 4S,71 kWh useable battery          Available since January 2023,4.0 sec,250 km/h,415 km,171 Wh/km,1020 km/h,All Wheel Drive,4,"€114,559","£90,700"
Citroen,e-C4 X 54 kWh,50.8 kWh useable battery          Available since June 2023,10.0 sec,150 km/h,305 km,167 Wh/km,440 km/h,Front Wheel Drive,5,"€41,540",N/A
Toyota,Proace City Verso Electric L1 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135 km/h,210 km,220 Wh/km,330 km/h,Front Wheel Drive,5,"€37,800",N/A
CUPRA,Born 170 kW - 58 kWh,58 kWh useable battery          Available since March 2022,6.6 sec,160 km/h,345 km,168 Wh/km,460 km/h,Rear Wheel Drive,5,"€40,750","£39,205"
BYD,SEAL 82.5 kWh AWD Excellence,82.5 kWh useable battery          Available since September 2023,3.8 sec,180 km/h,485 km,170 Wh/km,530 km/h,All Wheel Drive,5,"€53,240","£47,990"
Toyota,PROACE Verso M 75 kWh,68 kWh useable battery*          Available since October 2021,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,8,"€64,530",N/A
Mercedes,EQT 200 Standard,45 kWh useable battery          Available since June 2023,12.6 sec,132 km/h,225 km,200 Wh/km,230 km/h,Front Wheel Drive,5,"€49,445",N/A
Peugeot,e-Rifter Long 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€42,440","£35,120"
Genesis,GV60 Sport,74 kWh useable battery*          Available since June 2022,5.5 sec,200 km/h,380 km,195 Wh/km,990 km/h,All Wheel Drive,5,"€63,200","£58,365"
Aiways,U6,60 kWh useable battery*          Available since December 2022,7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,Front Wheel Drive,5,"€47,588",N/A
Fiat,500e 3+1 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,N/A,N/A
Opel,Combo-e Life 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€43,050","£34,085"
Audi,Q4 Sportback e-tron 45 quattro,76.6 kWh useable battery          Available since July 2022,6.9 sec,180 km/h,400 km,192 Wh/km,570 km/h,All Wheel Drive,5,"€55,900",N/A
Peugeot,e-Traveller Long 75 kWh,68 kWh useable battery*          Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€60,430",N/A
Porsche,Taycan 4S Cross Turismo,83.7 kWh useable battery          Available since January 2023,4.1 sec,240 km/h,440 km,190 Wh/km,1080 km/h,All Wheel Drive,4,"€119,914","£95,200"
Kia,e-Soul 39.2 kWh,39.2 kWh useable battery          Available since September 2022,9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,Front Wheel Drive,5,N/A,"£32,845"
Peugeot,e-Expert Combi Standard 75 kWh,68 kWh useable battery*          Available since February 2021,14.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€57,940",N/A
Mercedes,eVito Tourer Extra-Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160 km/h,305 km,295 Wh/km,310 km/h,Front Wheel Drive,9,"€65,140","£83,850"
Porsche,Taycan Turbo S Sport Turismo,83.7 kWh useable battery          Available since March 2022,2.8 sec,260 km/h,395 km,212 Wh/km,970 km/h,All Wheel Drive,4,"€198,692","£149,300"
Porsche,Taycan Turbo S Cross Turismo,83.7 kWh useable battery          Available since January 2023,2.9 sec,250 km/h,410 km,204 Wh/km,1010 km/h,All Wheel Drive,4,"€199,168","£149,300"
Mercedes,EQV 250 Long,60 kWh useable battery          Available since October 2021,12.0 sec,160 km/h,210 km,286 Wh/km,200 km/h,Front Wheel Drive,7,"€68,056",N/A
Mercedes,EQV 300 Extra-Long,90 kWh useable battery          Available since October 2020,12.1 sec,160 km/h,310 km,290 Wh/km,310 km/h,Front Wheel Drive,7,"€72,519",N/A
Mercedes,EQA 300 4MATIC,66.5 kWh useable battery          Expected from November 2023,7.7 sec,160 km/h,355 km,187 Wh/km,510 km/h,All Wheel Drive,5,"* €54,000","* £53,000"
Citroen,e-Jumpy Combi M 75 kWh,68 kWh useable battery*          Available since November 2020,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€57,940",N/A
Abarth,500e Hatchback,37.8 kWh useable battery          Available since May 2023,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,Front Wheel Drive,4,"€37,990","£34,195"
Porsche,Taycan GTS Sport Turismo,83.7 kWh useable battery          Available since February 2022,3.7 sec,250 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€140,858","£111,200"
Mercedes,EQE 350 4MATIC,89 kWh useable battery          Available since May 2023,6.3 sec,210 km/h,475 km,187 Wh/km,600 km/h,All Wheel Drive,5,"€74,149",N/A
NIO,EL6 75 kWh,70.5 kWh useable battery          Available since July 2023,4.5 sec,200 km/h,350 km,201 Wh/km,470 km/h,All Wheel Drive,5,"€65,500",N/A
Citroen,e-Berlingo XL 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€43,640","£33,315"
Genesis,GV60 Sport Plus,74 kWh useable battery*          Available since June 2022,4.0 sec,235 km/h,365 km,203 Wh/km,950 km/h,All Wheel Drive,5,"€73,100","£67,505"
Mercedes,EQE SUV AMG 43 4MATIC,90.6 kWh useable battery          Available since December 2022,4.3 sec,210 km/h,415 km,218 Wh/km,620 km/h,All Wheel Drive,5,"€124,920",N/A
Peugeot,e-Traveller Standard 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€53,640","£42,785"
Opel,Zafira-e Life L 75 kWh,68 kWh useable battery*          Available since February 2021,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€70,075",N/A
Porsche,Taycan Sport Turismo,71 kWh useable battery          Available since March 2022,5.4 sec,230 km/h,380 km,187 Wh/km,930 km/h,Rear Wheel Drive,4,"€94,091","£80,200"
Citroen,e-SpaceTourer M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€53,640","£37,045"
Fiat,E-Ulysse L3 75 kWh,68 kWh useable battery*          Available since June 2022,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,8,"€62,990",N/A
Mercedes,EQE 350,89 kWh useable battery          Available since July 2022,6.4 sec,210 km/h,510 km,175 Wh/km,640 km/h,Rear Wheel Drive,5,N/A,"£77,345"
VinFast,VF 8 Eco Extended Range,87.7 kWh useable battery          Expected from September 2023,5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,All Wheel Drive,5,"€52,990",N/A
Porsche,Taycan Turbo,83.7 kWh useable battery          Available since January 2023,3.2 sec,260 km/h,445 km,188 Wh/km,1090 km/h,All Wheel Drive,4,"€164,420","£125,800"
Porsche,Taycan Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,5.4 sec,230 km/h,445 km,188 Wh/km,1090 km/h,Rear Wheel Drive,4,"€99,815","£84,654"
Peugeot,e-Expert Combi Long 75 kWh,68 kWh useable battery*          Available since February 2021,14.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€58,730",N/A
Opel,Combo-e Life XL 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135 km/h,200 km,232 Wh/km,320 km/h,Front Wheel Drive,7,"€44,750","£34,685"
VinFast,VF 8 Eco Standard Range,82 kWh useable battery          Expected from September 2023,5.9 sec,200 km/h,405 km,202 Wh/km,560 km/h,All Wheel Drive,5,"* €50,000",N/A
Toyota,PROACE Shuttle M 75 kWh,68 kWh useable battery*          Available since June 2021,13.1 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,N/A,N/A
Opel,Zafira-e Life M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€63,250","£42,735"
Abarth,500e Convertible,37.8 kWh useable battery          Available since May 2023,7.0 sec,155 km/h,225 km,168 Wh/km,370 km/h,Front Wheel Drive,4,"€40,990","£37,195"
Porsche,Taycan 4S Sport Turismo,71 kWh useable battery          Available since March 2022,4.0 sec,250 km/h,370 km,192 Wh/km,910 km/h,All Wheel Drive,4,"€114,559","£91,700"
Fiat,500e Cabrio 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,"€35,490",N/A
Mercedes,EQE AMG 43 4MATIC,90.6 kWh useable battery          Available since May 2023,4.2 sec,210 km/h,465 km,195 Wh/km,690 km/h,All Wheel Drive,5,"€104,756",N/A
