Name,Model,Subtitle,Acceleration,Top_Speed,Range,Efficiency,Fast_Charge,Drive_Type,No_Of_Seats,Germany_Price,UK_Price
Porsche,Taycan Turbo Cross Turismo,83.7 kWh useable battery          Available since January 2023,3.3 sec,250 km/h,425 km,197 Wh/km,1050 km/h,All Wheel Drive,4,"€165,848","£126,800"
Toyota,PROACE Shuttle L 75 kWh,68 kWh useable battery*          Available since June 2021,13.1 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,N/A,N/A
Opel,Zafira-e Life M 75 kWh,68 kWh useable battery*          Available since February 2021,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€69,250",N/A
Opel,Vivaro-e Combi L 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€51,825","£37,835"
Toyota,PROACE Shuttle L 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,9,N/A,N/A
Citroen,e-Jumpy Combi XL 75 kWh,68 kWh useable battery*          Available since November 2020,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,9,"€58,730",N/A
Fiat,E-Ulysse L2 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,8,"€55,990",N/A
Peugeot,e-Expert Combi Standard 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€51,940",N/A
Peugeot,e-Traveller Long 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€54,430","£43,625"
Citroen,e-Jumpy Combi XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,9,"€52,730",N/A
Peugeot,e-Expert Combi Long 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,9,"€52,730",N/A
