,Name,Description,Price,Rating,Rating_Count,URL
47,NIVICK ,Men Slim Fit Solid Mandarin Collar Formal Shirt,₹366,4.1,"1,593 ratings and 115 reviews",https://www.flipkart.com/nivick-men-solid-formal-dark-green-shirt/p/itme2f3473321721?pid=SHTGA5QAYPFVGXFP&lid=LSTSHTGA5QAYPFVGXFPZDLEAK&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_8&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BrAf3tjwZDOri2mcnd_O2oix005x7Zo4lCBqORbzC4g-Q%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
48,PARK AVENUE ,Men Slim Fit Striped Formal Shirt,"₹1,004", , ,https://www.flipkart.com/park-avenue-men-striped-formal-dark-blue-shirt/p/itmce763d1b24830?pid=SHTGR4TFGNXAHVXK&lid=LSTSHTGR4TFGNXAHVXKLBGQML&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_9&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGR4TFGNXAHVXK.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
49,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-dark-blue-shirt/p/itm4dd971326b876?pid=SHTGMTDEZERRXZHN&lid=LSTSHTGMTDEZERRXZHNF5ANDG&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_10&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMTDEZERRXZHN.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
50,STONEBERG ,Men Slim Fit Solid Spread Collar Formal Shirt,₹405,4,"3,766 ratings and 273 reviews",https://www.flipkart.com/stoneberg-men-solid-formal-pink-shirt/p/itm9c93eff34f481?pid=SHTGHF7NZSFSFXHN&lid=LSTSHTGHF7NZSFSFXHNPGJRWA&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_11&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BreuGDEtttgkqrkhXeL3uG3O0piQriv5zogQei7gIcUUA%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
51,MILDIN ,Men Slim Fit Solid Spread Collar Formal Shirt,₹389,3.9,"32,848 ratings and 2,614 reviews",https://www.flipkart.com/mildin-men-solid-formal-blue-shirt/p/itmc6f3f4e154960?pid=SHTG9PS5MGZZ3NY4&lid=LSTSHTG9PS5MGZZ3NY4IB5UVC&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_12&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BptdaceIWkfXcUs0Rkb1edONdw1ceb2EBB16FwqbAViqw%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
52,PARK AVENUE ,Men Slim Fit Printed Formal Shirt,₹948,4.1,8 ratings and 0 reviews,https://www.flipkart.com/park-avenue-men-printed-formal-purple-shirt/p/itm0e011e7b88d2f?pid=SHTGR4TGP4CYJBXM&lid=LSTSHTGR4TGP4CYJBXMDOWCRJ&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_13&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGR4TGP4CYJBXM.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
53,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-light-green-shirt/p/itm9d3488c6c6b0d?pid=SHTGMNGQTDBTJUDP&lid=LSTSHTGMNGQTDBTJUDPOIOTBP&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_14&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMNGQTDBTJUDP.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
54,VTEXX ,Men Regular Fit Solid Spread Collar Formal Shirt,₹299,4,"19,983 ratings and 1,468 reviews",https://www.flipkart.com/vtexx-men-solid-formal-pink-shirt/p/itm1eef15a93b093?pid=SHTGMNGQNMYVUWZE&lid=LSTSHTGMNGQNMYVUWZEJHWECK&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_15&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGMNGQNMYVUWZE.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
55,PARK AVENUE ,Men Slim Fit Solid Formal Shirt,₹949,4.5,22 ratings and 0 reviews,https://www.flipkart.com/park-avenue-men-solid-formal-white-shirt/p/itm0e6fede83fe27?pid=SHTGR4TFHTHYDQXU&lid=LSTSHTGR4TFHTHYDQXUX85E89&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_16&otracker=search&fm=organic&iid=043edfde-c16a-4571-86e7-2b51a8be5da0.SHTGR4TFHTHYDQXU.SEARCH&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
56,FUBAR ,Men Slim Fit Solid Spread Collar Formal Shirt,₹479,3.8,321 ratings and 21 reviews,https://www.flipkart.com/fubar-men-solid-formal-white-shirt/p/itm6cc31b7fd45da?pid=SHTGNRDU5WJUEHWW&lid=LSTSHTGNRDU5WJUEHWWXASPYP&marketplace=FLIPKART&q=men+formal+shirt&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=s_1_17&otracker=search&fm=organic&iid=en_cu1-Ow2iCCYBDi1-6UrpWiakMBIvYP9ax2j84uY_2BpubKdkpJEG76ySFRgjm8rGPXfVcgYosiHhl5ymOkV-fg%3D%3D&ppt=None&ppn=None&ssid=aq4871ljpc0000001692428256212&qH=ee1697b1cab4c91d
