,Name,Description,Price,Rating,Rating_Count,URL
10,De-Ultimate,De-Ultimate Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 1 No ) Diya With Brass Table Oil Ghee Lamp Puja ( 1 No Small Size ) Diya with Long Wooden Handle For Puja Purpose Brass  (Gold),₹451,3.7,114 Ratings & 12 Reviews,https://www.flipkart.com/de-ultimate-combo-5-face-puja-camphor-burner-lamp-punch-aarti-1-no-diya-brass-table-oil-ghee-small-size-long-wooden-handle-purpose/p/itmbaaf0517eda2b?pid=PJTFVSYZGTTXBGRW&lid=LSTPJTFVSYZGTTXBGRWIRE21H&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFVSYZGTTXBGRW.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
11,Stylewell,Stylewell Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 1 No ) Diya With Phool Batti Cotton Wicks (20 Pcs Wicks in Each Packet) Brass  (Gold),₹385, , ,https://www.flipkart.com/stylewell-combo-5-face-puja-camphor-burner-lamp-punch-aarti-1-no-diya-phool-batti-cotton-wicks-20-pcs-each-packet-brass/p/itm51e96c1313462?pid=PJTFWP9EGYSTUZMM&lid=LSTPJTFWP9EGYSTUZMMH7ZAKB&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFWP9EGYSTUZMM.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
12,M,M ahalakshmi Dcoration MLD_SHIVJI_P_K001 Prayer Kit,₹809, , ,https://www.flipkart.com/m-ahalakshmi-dcoration-mld-shivji-p-k001-prayer-kit/p/itm3aa1e5c8cbb5c?pid=PRKGECZKGBC2YQPG&lid=LSTPRKGECZKGBC2YQPGLAWSXN&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PRKGECZKGBC2YQPG.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
13,White,White Dust Handcrafted Agarbattis Pure Camphor || 100g Pure Kapoor,₹195,4.2,253 Ratings & 28 Reviews,https://www.flipkart.com/white-dust-handcrafted-agarbattis-pure-camphor-100g-kapoor/p/itma7e379aa43d01?pid=HAIG7ESMUJGK4RU6&lid=LSTHAIG7ESMUJGK4RU6UIDVFL&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIG7ESMUJGK4RU6.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
14,bhimseni,bhimseni kapoor nidhi kapoor 100gm,₹199,4.1,48 Ratings & 0 Reviews,https://www.flipkart.com/bhimseni-kapoor-nidhi-100gm/p/itm0a8e86300205c?pid=HAIGCA7JDZK8FUKC&lid=LSTHAIGCA7JDZK8FUKC2PYERQ&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIGCA7JDZK8FUKC.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
15,MANGALAM,MANGALAM Bhimseni Camphor 250g Jar - Pack of 1,₹574,4.5,709 Ratings & 57 Reviews,https://www.flipkart.com/mangalam-bhimseni-camphor-250g-jar-pack-1/p/itm1c14f31b3f2c3?pid=HAIFR2AYT7FKB8HM&lid=LSTHAIFR2AYT7FKB8HMNJ9HPU&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_16&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIFR2AYT7FKB8HM.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
16,Hari,Hari Darshan Premium Chandan Tilak -100g,₹187,4.4,556 Ratings & 51 Reviews,https://www.flipkart.com/hari-darshan-premium-chandan-tilak-100g/p/itmb5383405e501a?pid=HAIG3VYXRKPSFWGP&lid=LSTHAIG3VYXRKPSFWGPVTZW0X&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIG3VYXRKPSFWGP.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
17,Hari,Hari Darshan Bhimseni Camphor (250g),₹439,4.4,294 Ratings & 22 Reviews,https://www.flipkart.com/hari-darshan-bhimseni-camphor-250g/p/itmf12bf0c59ff4b?pid=HAIGCG43TZGN5UJW&lid=LSTHAIGCG43TZGN5UJW4HLGNZ&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_18&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIGCG43TZGN5UJW.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
18,Gannuji,Gannuji Camphor [100 Gram x 2] Pure Holy & Spiritual Pooja Karpuram Tablet Jaar,₹439,4.3,221 Ratings & 17 Reviews,https://www.flipkart.com/gannuji-camphor-100-gram-x-2-pure-holy-spiritual-pooja-karpuram-tablet-jaar/p/itm9387cab73d537?pid=HAIG8YYQCHFB9DDV&lid=LSTHAIG8YYQCHFB9DDVT2ELFU&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.HAIG8YYQCHFB9DDV.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
19,Uniqon,"Uniqon Combo of 5 Face Puja Camphor Burner Lamp Punch Aarti ( 2 No ) Diya With Brass (1 No) Small Size Lota Brass  (2 Pieces, Gold)",₹465, , ,https://www.flipkart.com/uniqon-combo-5-face-puja-camphor-burner-lamp-punch-aarti-2-no-diya-brass-1-no-small-size-lota/p/itm466768fa1fe8b?pid=PJTFXH8GC6SWHF6E&lid=LSTPJTFXH8GC6SWHF6EE8JP9O&marketplace=FLIPKART&q=camphor&store=search.flipkart.com&srno=s_1_20&otracker=search&fm=organic&iid=4e6c74af-76c1-4713-a32e-c89f0dd18723.PJTFXH8GC6SWHF6E.SEARCH&ppt=None&ppn=None&ssid=07q8i7o7cg0000001692427667113&qH=365b10373e9526bc
